election,country,ISO,year,date,office,numresponses,COUNTRYDATA,PR,CL,fhcategory,development,gdp_pc_ppp,region,region9,oecd,OVERALLINTEGRITY,PEI_add_original_m,PEI_add_original,PEI_add_new_m,PEI_add_new,PEI_concept_m,PEI_contestation_m,PEI_participation_m,PEI_deliberation_m,PEI_adjudication_m,PEI_concept,PEI_contestation,PEI_participation,PEI_deliberation,PEI_adjudication,rating,PEIindexi_original,LAWS,lawsunfair,lawsunfair2,favoredincumbent,favoredincumbent2,citizens,citizens2,certainty,changes,equal,enfranchised,laws,laws_m,laws_new,laws_new_m,PROCEDURES,managed,votinginfo,fairofficials,legalelections,procedures,procedures_m,procedures_new,procedures_new_m,BOUNDARIES,bdiscrim,bdiscrim2,bfavored,bfavored2,bimpartial,boundaries,boundaries_m,boundaries_new,boundaries_new_m,VOTERREGISTRATION,reglisted,reglisted2,reginaccurate,reginaccurate2,ineligible,ineligible2,unlikelyreg,unlikelyreg2,votereg,votereg_m,voterreg_new,voterreg_new_m,PARTYREGISTRATION,oppprevent,oppprevent2,womenopp,minorityopp,leaderselect,leaderselect2,rallies,rallies2,equalopp,partytargeted,partytargeted2,partyreg,partyreg_m,partyreg_new,partyreg_new_m,MEDIACOVERAGE,balanced,newspapers,tv,tv2,fairaccess,faircoverage,socialmedia,disinformation,disinformation2,deliberation,media,media_m,media_new,media_new_m,CAMPAIGNFINANCE,subsidies,donations,accounts,rich,rich2,resources,resources2,bribed,bribed2,finance,finance_m,finance_new,finance_new_m,VOTINGPROCESS,violence,violence2,fraudulent,fraudulent2,easy,choice,postal,disabled,expats,internet,gaps,gaps2,encouraged,identification,identification2,voting,voting_m,voting_new,voting_new_m,VOTECOUNT,secure,delay,faircount,intlmonitors,intlmonitors2,domesticmonitors,domesticmonitors2,count,count_m,count_new,count_new_m,VOTINGRESULTS,challenged,challenged2,protestspeace,protestspeace2,protestsviolent,protestsviolent2,disputes,effective,results,results_m,results_new,results_new_m,ELECTIONAUTHORITIES,impartial,info,scrutiny,performance,targeted,targeted2,EMBs,EMBs_m,EMBs_new,EMBs_new_m,ROTATING,freetovote,fearviolence,fearviolence2,ballotconfidential,freefairelect,cashforvotes,cashforvotes2,patronage,patronage2,audit,hacking,campaignnews,govtnews,fakenews,fakenews2,hatespeech,hatespeech2,informedchoices,foreigninterference,foreigninterference2,mediamonitors,cyberattacks,cyberattacks2,diversenews,journalisticstandards,partisanjournalists,partisanjournalists2,fakesocial,fakesocial2,emergency,emergency2,safetyvoters,safetyworkers,safetyworkers2,opportunitycampaign,opportunitycampaign2,incumbentcampaign,incumbentcampaign2,postponed,postponed2,hesitant,hesitant2,support,shortage,shortage2,resourced,resourced2
MDG_27052019_L1,Madagascar,MDG,2019,27/05/2019,Legislative,4,,3,3,1,1,1687,1,1,0,,47,48,,,41,40,31,39,56,41,38,31,39,56,6,41,,3,3,3,3,3,3,,,,,50,50,,,,3,2,2,3,39,39,39,39,,2,4,2,4,2,58,58,58,58,,4,2,4,2,5,2,,,21,21,,,,3,3,4,3,4,2,3,3,,,,55,52,,,,3,3,5,2,2,3,4,,,,35,35,,,,2,2,2,4,2,5,2,4,3,18,19,23,22,,3,3,4,3,4,3,3,2,2,2,,,,,,42,42,,,,3,2,3,2,4,2,4,59,59,59,59,,4,2,4,3,2,4,3,,44,44,,,,2,4,3,2,,,39,39,,,,,,,,,,,,,,,,,4,4,2,2,3,3,3,4,2,2,4,3,5,5,4,4,,,,,,,,,,,,,,,,,,
MDG_16112023_P1,Madagascar,MDG,2023,16/11/2023,Presidential,3,,3,4,1,1,1665,1,1,0,,20,20,24,23,19,18,22,20,15,19,17,23,20,15,2,,,5,1,5,1,4,2,1,1,1,2,8,8,10,10,,2,3,2,2,22,25,22,25,,2,5,4,3,2,46,46,46,46,,4,2,4,2,4,2,4,2,25,25,25,25,,4,2,2,3,4,2,5,1,3,5,1,27,27,26,26,,3,,5,1,1,2,4,4,2,1,33,33,29,29,,1,2,1,5,1,5,1,5,1,3,7,2,6,,4,2,4,2,3,2,,2,1,1,3,3,2,3,3,21,24,24,24,,2,2,1,3,3,4,2,28,28,28,28,,5,1,4,2,3,3,1,1,25,25,22,22,,2,3,1,2,2,4,16,18,30,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWI_20052014_P1,Malawi,MWI,2014,20/05/2014,Presidential,15,,3,4,1,1,1149,1,1,0,,49,58,,,51,48,32,55,68,53,49,39,56,68,5,48,,3,3,2,4,2,4,,,,,70,70,,,,2,4,3,4,52,51,52,51,,3,3,2,4,4,67,67,67,67,,4,2,4,2,4,2,,,29,31,,,,2,4,4,4,3,3,3,3,,,,69,69,,,,3,3,4,2,2,3,4,,,,47,48,,,,2,1,1,4,2,4,2,,,17,17,,,,2,4,4,2,3,4,2,3,1,1,,,,,,56,48,,,,2,2,3,2,4,2,4,53,51,53,51,,4,2,3,3,3,3,3,,47,45,,,,3,4,4,2,,,55,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWI_21052019_P1,Malawi,MWI,2019,21/05/2019,Presidential,4,,3,3,1,1,1602,1,1,0,,39,42,,,48,35,27,63,66,51,37,39,63,63,4,37,,3,4,4,3,2,4,,,,,58,58,,,,2,4,2,2,34,34,34,34,,5,2,3,3,3,33,35,33,35,,3,3,3,4,4,3,,,50,50,,,,2,5,3,3,2,4,4,2,,,,57,53,,,,4,4,4,2,2,4,5,,,,55,55,,,,1,1,1,4,2,5,1,4,2,5,8,4,10,,5,2,4,2,4,4,1,5,1,1,,,,,,50,43,,,,2,2,2,2,4,2,4,47,47,47,47,,5,1,5,1,5,1,5,,27,27,,,,2,3,3,1,,,28,28,,,,,,,,,,,,,,,,,4,4,4,4,3,3,3,3,3,3,3,2,4,4,5,5,,,,,,,,,,,,,,,,,,
MWI_23062020_P1,Malawi,MWI,2020,23/06/2020,Presidential,7,,3,3,1,1,1591,1,1,0,,49,49,,,55,44,33,61,81,59,49,41,61,82,8,54,,3,3,2,4,2,4,,,,,63,63,,,,4,4,4,5,83,83,83,83,,4,2,3,3,2,35,35,35,35,,3,3,3,3,3,3,,,45,45,,,,1,5,3,3,2,4,3,3,,,,63,64,,,,3,3,4,2,2,3,4,,,,44,45,,,,1,1,1,3,3,5,1,4,2,13,15,14,17,,3,3,4,2,4,4,2,3,1,1,,,,,,51,50,,,,4,4,4,2,4,2,4,78,78,78,78,,4,2,3,4,2,4,4,,60,63,,,,4,4,4,4,,,81,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYS_05052013_L1,Malaysia,MYS,2013,05/05/2013,Legislative,17,,4,4,1,3,24034,3,3,0,,33,30,,,40,27,51,39,41,40,27,51,39,40,4,35,,4,2,5,1,4,2,,,,,14,15,,,,3,4,2,3,43,43,43,43,,5,1,5,1,2,10,10,10,10,,4,2,4,2,4,2,,,19,21,,,,2,4,3,3,4,2,4,2,,,,45,47,,,,1,1,5,1,1,2,5,,,,22,22,,,,2,2,2,4,2,4,2,,,20,21,,,,3,3,4,2,4,4,4,4,4,1,,,,,,57,60,,,,3,3,3,4,2,4,2,40,42,40,42,,5,1,4,2,2,4,3,,42,42,,,,2,3,2,2,,,29,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYS_09052018_L1,Malaysia,MYS,2018,09/05/2018,Legislative,13,,4,4,1,3,26808,3,3,0,,32,37,,,36,22,45,34,44,36,23,44,34,41,4,34,,4,2,5,1,4,2,,,,,15,15,,,,2,4,2,3,46,46,46,46,,5,1,4,2,1,13,12,13,12,,4,2,4,2,4,2,,,26,26,,,,4,2,3,3,4,2,4,2,,,,39,38,,,,1,1,5,1,1,2,5,,,,26,26,,,,1,1,1,4,2,4,2,4,2,16,15,18,17,,2,4,4,2,4,3,4,3,3,1,,,,,,57,55,,,,3,2,3,4,2,4,2,30,30,30,30,,3,3,2,4,1,5,4,,68,67,,,,1,3,2,2,,,25,25,,,,,,,,,,,,,,,,,3,3,4,4,3,3,3,4,3,3,3,2,4,4,3,3,,,,,,,,,,,,,,,,,,
MYS_19112022_L1,Malaysia,MYS,2022,19/11/2022,Legislative,7,,4,4,1,3,28929,3,3,0,,58,63,,,58,42,66,51,73,58,42,67,51,70,8,56,,2,4,3,3,2,4,,,,,65,65,,,,4,4,4,4,79,79,79,79,,4,2,3,3,2,31,31,31,31,,1,5,2,4,2,4,,,82,82,,,,2,4,4,4,4,2,3,3,,,,54,58,,,,2,2,4,2,2,2,5,,,,42,43,,,,2,2,2,3,3,4,2,4,2,26,24,26,23,,2,5,2,4,4,4,4,4,3,2,,,,,,76,75,,,,4,4,5,3,3,2,4,80,76,80,76,,3,3,2,4,1,5,4,,78,76,,,,3,4,3,4,,,59,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,4,3,3,4,3,3,4,2,5,3,4,4,2,4,2,4
MDV_16112013_P2,Maldives,MDV,2013,16/11/2013,Presidential,5,,4,4,1,3,11854,3,4,0,,54,,,,56,48,60,61,55,56,51,54,60,59,6,54,,3,3,2,4,2,4,,,,,67,60,,,,3,4,3,4,64,64,64,64,,2,4,2,4,3,64,64,64,64,,4,2,3,3,3,3,,,50,44,,,,2,4,3,4,3,4,3,3,,,,40,61,,,,3,3,3,3,3,4,3,,,,49,48,,,,3,2,1,4,2,4,2,,,25,27,,,,3,3,3,3,3,4,2,4,4,2,,,,,,92,65,,,,3,4,4,2,4,2,4,82,70,82,70,,2,4,3,4,2,4,3,,63,63,,,,3,4,3,3,,,58,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDV_22032014_L1,Maldives,MDV,2014,22/03/2014,Legislative,5,,4,4,1,3,12535,3,4,0,,58,57,,,62,50,55,73,69,63,51,59,74,69,7,59,,3,3,3,3,2,4,,,,,60,60,,,,4,4,4,4,73,75,73,75,,3,3,3,3,3,47,47,47,47,,4,3,3,3,3,3,,,48,48,,,,2,4,4,2,3,3,3,3,,,,45,54,,,,3,3,3,3,3,3,4,,,,56,59,,,,4,3,3,4,2,3,3,,,46,49,,,,3,3,3,3,4,5,4,3,4,2,,,,,,63,59,,,,4,4,4,3,3,3,3,63,63,63,63,,2,4,2,4,2,4,4,,76,76,,,,3,3,3,3,,,56,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDV_23092018_P1,Maldives,MDV,2018,23/09/2018,Presidential,12,,5,5,1,3,15184,3,4,0,,39,37,,,47,24,52,50,61,47,24,53,50,61,5,44,,4,2,4,2,4,2,,,,,28,28,,,,3,4,3,3,53,54,53,54,,3,3,3,3,3,57,57,57,57,,4,2,3,3,3,3,,,44,44,,,,4,2,2,3,4,2,4,2,,,,20,25,,,,2,2,4,2,2,3,4,,,,44,44,,,,2,2,1,5,1,5,1,5,1,13,16,12,15,,3,3,4,3,3,4,3,4,4,1,,,,,,55,57,,,,4,4,4,4,2,3,4,63,63,63,63,,5,1,4,2,1,5,4,,51,50,,,,2,3,3,3,,,45,46,,,,,,,,,,,,,,,,,3,3,4,4,3,3,3,3,2,2,3,2,4,4,4,4,,,,,,,,,,,,,,,,,,
