election,country,ISO,year,date,office,numresponses,COUNTRYDATA,PR,CL,fhcategory,development,gdp_pc_ppp,region,region9,oecd,OVERALLINTEGRITY,PEI_add_original_m,PEI_add_original,PEI_add_new_m,PEI_add_new,PEI_concept_m,PEI_contestation_m,PEI_participation_m,PEI_deliberation_m,PEI_adjudication_m,PEI_concept,PEI_contestation,PEI_participation,PEI_deliberation,PEI_adjudication,rating,PEIindexi_original,LAWS,lawsunfair,lawsunfair2,favoredincumbent,favoredincumbent2,citizens,citizens2,certainty,changes,equal,enfranchised,laws,laws_m,laws_new,laws_new_m,PROCEDURES,managed,votinginfo,fairofficials,legalelections,procedures,procedures_m,procedures_new,procedures_new_m,BOUNDARIES,bdiscrim,bdiscrim2,bfavored,bfavored2,bimpartial,boundaries,boundaries_m,boundaries_new,boundaries_new_m,VOTERREGISTRATION,reglisted,reglisted2,reginaccurate,reginaccurate2,ineligible,ineligible2,unlikelyreg,unlikelyreg2,votereg,votereg_m,voterreg_new,voterreg_new_m,PARTYREGISTRATION,oppprevent,oppprevent2,womenopp,minorityopp,leaderselect,leaderselect2,rallies,rallies2,equalopp,partytargeted,partytargeted2,partyreg,partyreg_m,partyreg_new,partyreg_new_m,MEDIACOVERAGE,balanced,newspapers,tv,tv2,fairaccess,faircoverage,socialmedia,disinformation,disinformation2,deliberation,media,media_m,media_new,media_new_m,CAMPAIGNFINANCE,subsidies,donations,accounts,rich,rich2,resources,resources2,bribed,bribed2,finance,finance_m,finance_new,finance_new_m,VOTINGPROCESS,violence,violence2,fraudulent,fraudulent2,easy,choice,postal,disabled,expats,internet,gaps,gaps2,encouraged,identification,identification2,voting,voting_m,voting_new,voting_new_m,VOTECOUNT,secure,delay,faircount,intlmonitors,intlmonitors2,domesticmonitors,domesticmonitors2,count,count_m,count_new,count_new_m,VOTINGRESULTS,challenged,challenged2,protestspeace,protestspeace2,protestsviolent,protestsviolent2,disputes,effective,results,results_m,results_new,results_new_m,ELECTIONAUTHORITIES,impartial,info,scrutiny,performance,targeted,targeted2,EMBs,EMBs_m,EMBs_new,EMBs_new_m,ROTATING,freetovote,fearviolence,fearviolence2,ballotconfidential,freefairelect,cashforvotes,cashforvotes2,patronage,patronage2,audit,hacking,campaignnews,govtnews,fakenews,fakenews2,hatespeech,hatespeech2,informedchoices,foreigninterference,foreigninterference2,mediamonitors,cyberattacks,cyberattacks2,diversenews,journalisticstandards,partisanjournalists,partisanjournalists2,fakesocial,fakesocial2,emergency,emergency2,safetyvoters,safetyworkers,safetyworkers2,opportunitycampaign,opportunitycampaign2,incumbentcampaign,incumbentcampaign2,postponed,postponed2,hesitant,hesitant2,support,shortage,shortage2,resourced,resourced2
AFG_14062014_P2,Afghanistan,AFG,2014,14/06/2014,Presidential,6,,6,6,0,1,1875,3,3,0,,31,,,,35,36,21,57,27,33,33,21,52,27,2,32,,3,3,4,3,3,3,,,,,61,51,,,,2,3,2,2,24,24,24,24,,3,3,4,3,3,42,42,42,42,,4,2,4,2,5,1,,,18,19,,,,4,2,2,3,4,2,3,3,,,,35,32,,,,3,3,3,3,4,4,4,,,,61,61,,,,2,2,2,4,2,4,2,,,13,22,,,,5,1,5,1,3,4,1,2,2,1,,,,,,29,31,,,,2,2,1,4,3,4,2,20,23,20,23,,5,1,4,3,4,2,3,,26,26,,,,2,3,2,2,,,29,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG_20102018_L1,Afghanistan,AFG,2018,20/10/2018,Legislative,8,,5,6,0,1,1804,3,3,0,,29,,,,39,45,15,67,29,40,44,19,68,29,3,36,,3,3,3,3,4,2,,,,,50,42,,,,1,2,3,2,26,26,26,26,,4,2,3,3,2,36,32,36,32,,5,1,4,2,4,2,,,14,17,,,,4,2,3,4,3,4,2,4,,,,56,59,,,,4,4,3,3,3,4,5,,,,69,70,,,,3,2,2,4,2,4,2,4,2,34,32,33,32,,5,2,5,1,2,4,2,2,1,1,,,,,,20,24,,,,2,1,2,4,2,4,3,26,27,26,27,,4,2,3,3,3,3,2,,34,34,,,,2,2,2,2,,,24,22,,,,,,,,,,,,,,,,,3,3,2,2,3,4,4,3,2,2,3,4,3,3,3,3,,,,,,,,,,,,,,,,,,
AFG_28092019_P1,Afghanistan,AFG,2019,28/09/2019,Presidential,2,,5,6,0,1,2152,3,3,0,,27,,,,40,47,9,78,28,40,47,9,78,28,4,36,,3,3,4,2,3,3,,,,,42,42,,,,2,3,3,2,31,31,31,31,,3,3,3,3,3,50,50,50,50,,5,1,5,2,4,3,,,17,17,,,,3,4,4,4,2,4,3,3,,,,63,63,,,,4,4,3,4,4,4,5,,,,75,75,,,,2,2,2,4,3,5,1,4,2,20,20,21,21,,5,1,5,1,3,5,1,2,1,1,,,,,,33,25,,,,2,1,2,3,3,3,4,28,28,28,28,,5,1,5,2,3,3,2,,19,19,,,,2,3,2,2,,,31,31,,,,,,,,,,,,,,,,,2,2,3,3,4,4,4,4,2,2,5,4,3,3,4,4,,,,,,,,,,,,,,,,,,
ALB_23062013_L1,Albania,ALB,2013,23/06/2013,Legislative,19,,3,3,1,2,10584,4,5,0,,53,50,,,53,42,47,53,70,53,41,49,51,71,6,54,,4,2,3,3,2,4,,,,,52,52,,,,4,4,3,4,65,65,65,65,,3,3,3,3,3,55,56,55,56,,2,4,3,3,3,3,,,59,60,,,,2,4,2,3,4,2,3,3,,,,49,49,,,,2,2,3,3,3,2,4,,,,44,46,,,,3,2,1,4,2,4,2,,,26,27,,,,3,3,3,3,4,4,3,2,3,1,,,,,,58,51,,,,4,3,4,1,5,1,5,75,76,75,76,,2,4,2,4,1,5,4,,78,79,,,,3,4,3,3,,,56,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB_25062017_L1,Albania,ALB,2017,25/06/2017,Legislative,17,,3,3,1,3,11929,4,5,0,,51,48,,,50,41,41,49,67,50,41,45,47,66,6,53,,4,2,4,3,3,3,,,,,38,38,,,,4,4,3,4,65,64,65,64,,4,2,3,3,3,40,41,40,41,,2,4,2,4,3,3,,,72,71,,,,2,4,3,4,5,1,3,3,,,,51,51,,,,3,3,3,3,3,2,4,,,,47,48,,,,3,3,2,4,2,4,3,4,2,38,39,36,37,,3,4,4,3,4,3,3,3,2,1,,,,,,45,49,,,,4,4,3,2,4,2,4,66,66,66,66,,3,3,2,4,2,4,4,,71,71,,,,3,4,3,3,,,57,57,,,,,,,4,,,,,,14,15,3,8,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB_25042021_L1,Albania,ALB,2021,25/04/2021,Legislative,7,,3,3,1,3,15646,4,5,0,,40,35,,,38,29,31,45,48,36,28,32,35,48,4,42,,5,1,5,1,4,2,,,,,17,14,,,,2,3,3,3,46,43,46,43,,5,1,5,2,2,19,18,19,18,,3,3,3,3,3,3,,,57,59,,,,2,4,4,4,5,1,3,3,,,,50,53,,,,2,2,4,2,2,2,4,,,,31,31,,,,2,3,2,5,1,5,1,4,2,20,22,19,20,,3,3,4,2,4,4,3,3,1,3,,,,,,43,43,,,,4,3,2,2,4,3,4,58,57,58,57,,4,2,3,3,2,4,3,,46,46,,,,3,3,3,3,,,51,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DZA_17042014_P1,Algeria,DZA,2014,17/04/2014,Presidential,8,,6,5,0,3,14203,1,8,0,,44,40,,,44,30,62,40,44,44,29,63,40,43,4,43,,4,2,4,2,4,2,,,,,25,25,,,,3,4,3,3,55,49,55,49,,3,3,3,3,2,37,37,37,37,,4,2,4,2,3,3,,,33,36,,,,3,3,3,3,4,2,4,2,,,,33,35,,,,3,3,4,2,2,3,4,,,,44,44,,,,3,2,2,4,2,4,2,,,21,25,,,,3,3,4,3,4,3,3,3,5,2,,,,,,71,59,,,,3,4,3,3,3,3,3,61,59,61,59,,4,2,3,3,2,4,3,,42,47,,,,2,3,2,2,,,35,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DZA_04052017_L1,Algeria,DZA,2017,04/05/2017,Legislative,12,,6,5,0,3,15075,1,8,0,,38,45,,,43,34,55,41,42,43,35,57,41,41,4,43,,3,3,4,2,3,3,,,,,36,36,,,,3,3,3,3,47,47,47,47,,3,3,4,3,3,45,45,45,45,,4,3,3,3,3,3,,,42,41,,,,3,3,3,4,3,3,4,2,,,,42,44,,,,3,3,4,2,3,3,4,,,,44,46,,,,3,2,2,4,2,4,2,4,2,27,26,25,27,,3,3,4,2,4,3,3,2,4,2,,,,,,54,52,,,,3,3,3,3,3,3,3,44,44,44,44,,4,2,3,3,2,4,3,,52,50,,,,2,3,2,2,,,34,36,,,,,,,3,,,,,,42,42,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DZA_12122019_P1,Algeria,DZA,2019,12/12/2019,Presidential,4,,6,5,0,2,12008,1,8,0,,50,,,,51,45,62,40,57,49,42,64,40,57,5,47,,4,2,4,2,4,2,,,,,27,27,,,,3,4,3,4,59,59,59,59,,2,4,2,4,4,75,75,75,75,,3,4,3,4,3,4,,,63,63,,,,4,3,4,4,4,2,3,3,,,,65,48,,,,4,4,4,2,3,4,2,,,,45,46,,,,3,3,3,4,3,4,2,4,3,35,39,35,39,,2,4,4,2,4,2,2,3,4,2,,,,,,58,53,,,,3,4,3,3,3,3,3,55,53,55,53,,3,3,3,3,2,4,3,,56,56,,,,3,4,3,3,,,52,52,,,,,,,,,,,,,,,,,2,2,2,2,4,2,2,3,2,2,3,4,4,4,3,3,,,,,,,,,,,,,,,,,,
AGO_31082012_L1,Angola,AGO,2012,31/08/2012,Legislative,11,,6,5,0,3,6109,1,1,0,,33,43,,,34,32,29,41,33,34,33,32,41,30,,36,,4,2,4,2,3,3,,,,,26,27,,,,2,3,2,3,36,37,36,37,,4,2,4,2,3,31,35,31,35,,4,2,4,2,4,2,,,22,20,,,,3,3,3,4,4,2,3,3,,,,46,47,,,,2,2,4,2,2,2,4,,,,33,32,,,,2,2,2,4,2,4,2,,,24,23,,,,3,3,4,2,3,4,2,2,2,1,,,,,,42,40,,,,2,4,2,4,2,5,2,36,33,36,33,,4,2,4,2,2,4,3,,40,43,,,,2,3,2,2,,,35,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO_23082017_L1,Angola,AGO,2017,23/08/2017,Legislative,12,,6,6,0,2,6499,1,1,0,,34,25,,,40,38,38,43,40,41,38,40,43,42,4,42,,3,3,4,2,3,3,,,,,45,45,,,,3,3,2,3,38,38,38,38,,3,3,4,2,3,43,43,43,43,,4,2,4,2,4,2,,,32,30,,,,3,4,3,3,4,2,3,3,,,,52,50,,,,2,2,4,2,2,2,4,,,,30,30,,,,3,3,2,4,2,4,2,4,2,30,32,33,31,,3,3,3,3,4,4,3,3,2,1,,,,,,56,54,,,,3,3,2,3,3,4,3,45,41,45,41,,4,2,3,3,2,4,3,,47,48,,,,3,3,2,2,,,40,40,,,,,,,3,,,,,,26,10,3,2,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO_24082022_P1,Angola,AGO,2022,24/08/2022,Presidential,3,,6,5,0,2,6491,1,1,0,,31,29,,,40,30,49,48,32,40,29,49,48,32,3,31,,4,2,5,1,4,2,,,,,19,19,,,,2,2,2,2,23,23,23,23,,2,4,3,3,3,56,56,56,56,,4,2,4,2,5,2,,,17,18,,,,3,3,2,3,5,2,4,2,,,,38,32,,,,1,1,4,2,2,2,5,,,,33,33,,,,2,2,2,4,3,4,2,4,3,25,24,27,26,,4,2,4,2,3,4,2,3,4,1,,,,,,54,51,,,,2,3,2,4,2,3,3,30,30,30,30,,5,1,4,2,3,3,3,,31,31,,,,2,3,2,3,,,44,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,4,3,4,3,3,2,5,2,5,2,2,4,1,5
ATG_21032018_L1,Antigua and Barbuda,ATG,2018,21/03/2018,Legislative,2,,2,2,2,4,21491,2,9,0,,,,,,41,27,23,47,68,41,28,31,47,60,6,48,,4,3,4,3,2,4,,,,,50,50,,,,4,4,4,4,72,72,72,72,,4,3,4,3,3,38,38,38,38,,4,2,4,2,,,,,,,,,,2,4,3,3,5,1,3,3,,,,43,43,,,,4,4,5,1,2,3,5,,,,45,48,,,,1,1,1,5,1,5,2,5,1,0,3,0,2,,2,5,4,2,4,4,1,1,1,1,,,,,,42,42,,,,,5,4,2,4,2,4,,,,,,3,4,2,5,2,5,4,,63,78,,,,2,4,2,3,,,41,41,,,,,,,,,,,,,,,,,2,2,2,2,1,4,4,3,2,2,2,3,4,4,3,3,,,,,,,,,,,,,,,,,,
ARG_27102013_L1,Argentina,ARG,2013,27/10/2013,Legislative,16,,2,2,2,3,20161,2,9,0,,63,60,,,69,61,73,63,78,68,62,72,63,77,8,66,,2,4,3,3,2,4,,,,,70,70,,,,4,4,4,4,83,83,83,83,,2,4,2,4,4,68,69,68,69,,2,4,2,4,2,4,,,71,68,,,,2,4,4,4,3,3,2,4,,,,74,71,,,,3,3,3,3,4,3,2,,,,54,54,,,,3,3,2,2,4,4,2,,,40,41,,,,2,4,2,4,4,4,3,4,4,2,,,,,,70,72,,,,4,4,4,2,4,2,4,78,78,78,78,,2,4,2,4,2,4,4,,78,78,,,,4,4,4,4,,,69,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG_22112015_L1,Argentina,ARG,2015,22/11/2015,Legislative,21,,2,2,2,3,20338,2,9,0,,61,59,,,67,58,70,68,71,68,59,71,68,74,8,63,,3,3,2,4,2,4,,,,,69,68,,,,4,4,4,4,73,73,73,73,,2,4,2,4,3,60,62,60,62,,2,4,2,4,2,4,,,67,67,,,,1,5,4,3,3,3,2,4,,,,70,70,,,,3,3,3,3,4,3,3,,,,55,55,,,,3,3,2,3,3,5,1,,,35,36,,,,2,4,2,4,4,4,3,3,4,2,,,,,,71,71,,,,4,4,4,2,4,2,4,70,71,70,71,,2,4,2,4,1,5,4,,70,74,,,,4,4,4,4,,,66,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG_22102017_L1,Argentina,ARG,2017,22/10/2017,Legislative,18,,2,2,2,3,19934,2,9,0,,65,59,,,69,57,74,62,82,69,57,75,62,83,8,65,,2,4,2,4,2,4,,,,,71,71,,,,4,4,4,5,78,78,78,78,,2,4,2,4,3,63,63,63,63,,2,4,2,4,3,4,,,66,66,,,,2,4,4,4,3,3,2,4,,,,67,64,,,,3,3,4,2,3,3,2,,,,38,43,,,,4,2,2,3,3,4,2,2,4,41,41,45,45,,2,4,3,3,4,4,2,4,4,1,,,,,,75,75,,,,4,4,4,1,5,1,5,81,80,81,80,,2,4,2,4,1,5,4,,81,83,,,,4,4,4,4,,,72,72,,,,,,,4,,,,,,35,20,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG_27102019_P1,Argentina,ARG,2019,27/10/2019,Presidential,10,,2,2,2,3,22997,2,9,0,,70,64,,,73,64,75,67,87,74,63,75,67,89,9,70,,2,4,2,4,2,4,,,,,82,82,,,,5,5,5,5,89,89,89,89,,2,4,2,4,4,82,82,82,82,,2,4,2,4,2,4,,,80,79,,,,1,5,4,3,4,3,2,4,,,,69,68,,,,3,3,3,3,3,3,2,,,,48,45,,,,4,3,2,2,4,4,2,2,4,45,45,50,50,,2,4,2,4,4,4,1,3,4,1,,,,,,76,75,,,,4,4,5,1,5,1,5,85,85,85,85,,2,4,2,4,1,5,4,,84,86,,,,4,4,4,4,,,78,79,,,,,,,,,,,,,,,,,3,3,3,3,4,3,3,3,2,2,4,3,4,4,4,4,,,,,,,,,,,,,,,,,,
ARG_14112021_L1,Argentina,ARG,2021,14/11/2021,Legislative,9,,2,2,2,3,23627,2,9,0,,66,67,,,68,65,69,63,75,69,66,69,63,76,9,68,,2,4,2,4,1,5,,,,,82,82,,,,4,4,4,4,82,82,82,82,,2,4,2,4,3,65,65,65,65,,2,4,2,4,2,4,,,76,75,,,,1,5,5,4,3,3,2,4,,,,77,76,,,,3,3,3,4,3,3,3,,,,49,53,,,,3,3,2,2,4,4,2,2,4,43,44,49,48,,2,4,2,4,4,4,2,3,4,1,,,,,,70,68,,,,4,4,4,2,4,2,4,77,77,77,77,,2,4,2,4,1,5,4,,80,82,,,,4,4,4,4,,,70,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG_19112023_P2,Argentina,ARG,2023,19/11/2023,Presidential,13,,2,2,2,3,27127,2,9,0,,66,60,69,60,66,61,68,59,77,66,61,68,59,77,8,,,2,4,2,4,2,4,4,4,4,4,78,78,74,73,,4,4,4,4,86,86,86,86,,2,4,3,3,3,60,60,60,60,,2,4,2,4,2,4,2,4,74,76,77,76,,2,4,4,3,3,3,2,4,3,3,3,70,70,66,66,,2,,3,3,4,2,3,4,2,3,44,44,44,44,,4,3,2,2,4,4,2,3,3,40,42,43,45,,2,4,2,4,4,4,,4,4,2,2,4,3,2,4,77,76,63,64,,4,4,5,2,4,2,4,87,87,87,87,,2,4,2,4,1,5,4,4,84,78,81,75,,4,4,4,4,2,4,82,81,80,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM_18022013_P1,Armenia,ARM,2013,18/02/2013,Presidential,11,,5,4,1,2,7997,3,5,0,,45,38,,,41,46,29,45,44,42,46,32,45,44,4,44,,3,3,3,3,3,3,,,,,54,54,,,,3,4,2,3,49,49,49,49,,3,3,4,2,2,43,43,43,43,,4,2,4,2,5,1,,,22,22,,,,3,3,2,3,3,3,3,3,,,,49,50,,,,3,3,4,2,3,3,4,,,,51,51,,,,3,3,2,4,2,5,1,,,31,32,,,,4,2,4,2,4,3,3,3,2,2,,,,,,37,40,,,,3,4,2,2,4,3,3,56,59,56,59,,4,2,4,2,3,3,2,,30,30,,,,2,3,3,3,,,41,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM_02042017_L1,Armenia,ARM,2017,02/04/2017,Legislative,12,,5,4,1,2,8818,3,5,0,,53,48,,,49,46,39,58,52,50,47,42,55,54,5,51,,3,3,4,2,2,4,,,,,51,51,,,,3,3,2,3,44,44,44,44,,2,4,2,4,4,65,66,65,66,,2,4,3,3,3,3,,,56,55,,,,2,4,3,4,3,3,2,4,,,,62,58,,,,3,3,4,3,3,3,4,,,,55,56,,,,3,2,2,5,1,4,2,5,1,26,27,20,24,,3,3,4,3,3,4,3,3,2,2,,,,,,42,46,,,,3,4,3,2,4,3,3,58,59,58,59,,3,3,2,4,2,4,3,,64,63,,,,3,3,3,3,,,51,51,,,,,,,3,,,,,,35,43,3,10,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM_02122018_L1,Armenia,ARM,2018,02/12/2018,Legislative,14,,5,4,1,3,8788,3,5,0,,67,63,,,68,66,56,74,75,69,68,58,74,78,9,70,,3,3,3,3,2,4,,,,,61,61,,,,4,4,4,5,82,82,82,82,,2,4,3,3,3,61,61,61,61,,2,4,2,4,2,4,,,74,70,,,,2,4,4,4,3,3,2,5,,,,75,74,,,,4,4,2,4,4,4,4,,,,70,70,,,,4,4,3,3,4,3,3,2,4,56,60,61,64,,2,4,2,4,4,4,2,3,2,3,,,,,,63,63,,,,4,4,4,2,4,2,4,84,84,84,84,,2,4,2,4,1,5,3,,76,77,,,,4,4,4,4,,,77,78,,,,,,,,,,,,,,,,,2,2,3,3,4,2,2,3,2,2,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,
ARM_20062021_L1,Armenia,ARM,2021,20/06/2021,Legislative,6,,4,4,1,3,14630,3,5,0,,62,59,,,63,63,42,66,82,67,65,51,70,82,7,67,,2,4,2,4,2,4,,,,,74,74,,,,4,4,4,4,78,77,78,77,,1,5,1,5,2,69,69,69,69,,2,4,3,3,2,4,,,67,66,,,,2,4,2,4,3,3,2,4,,,,58,60,,,,3,3,3,3,4,3,4,,,,58,59,,,,3,3,3,2,4,3,3,3,3,45,52,43,51,,2,4,3,3,4,4,1,3,1,2,,,,,,57,58,,,,4,5,4,1,5,2,4,83,83,83,83,,4,2,4,3,1,5,5,,64,63,,,,4,4,4,4,,,70,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS_07092013_L1,Australia,AUS,2013,07/09/2013,Legislative,16,,1,1,2,4,45669,5,3,1,,69,,,,71,64,76,60,86,72,63,77,60,88,9,70,,2,4,3,3,2,4,,,,,65,65,,,,4,4,5,5,89,89,89,89,,2,4,3,4,4,72,70,72,70,,4,2,2,4,2,4,,,63,57,,,,1,5,4,4,2,4,2,4,,,,72,71,,,,2,2,2,4,3,2,3,,,,46,47,,,,4,3,3,3,3,3,3,,,52,57,,,,1,5,2,4,4,4,5,5,4,2,,,,,,81,79,,,,4,4,4,2,5,2,4,86,83,86,83,,3,3,2,4,1,5,4,,73,75,,,,5,5,5,5,,,88,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS_02072016_L1,Australia,AUS,2016,02/07/2016,Legislative,17,,1,1,2,4,46790,5,3,1,,68,69,,,72,65,77,58,87,72,65,77,58,88,9,70,,3,3,3,3,2,4,,,,,66,66,,,,4,4,5,5,88,88,88,88,,2,4,2,4,4,74,74,74,74,,4,3,2,4,2,4,,,62,61,,,,1,5,4,4,2,4,1,5,,,,78,78,,,,2,2,3,3,3,3,3,,,,38,43,,,,3,2,3,3,3,3,3,2,4,48,49,54,55,,1,5,2,4,4,4,4,4,4,2,,,,,,78,79,,,,5,3,5,2,4,1,5,85,81,85,81,,3,3,2,4,1,5,4,,79,76,,,,5,5,4,4,,,87,87,,,,4,1,1,5,5,7,7,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS_18052019_L1,Australia,AUS,2019,18/05/2019,Legislative,5,,1,1,2,4,51748,5,3,0,,63,66,,,65,55,74,55,76,64,54,73,55,75,8,66,,2,4,4,2,2,4,,,,,55,55,,,,5,4,5,4,86,86,86,86,,3,3,3,3,4,62,62,62,62,,3,3,2,4,2,4,,,65,63,,,,2,5,3,3,2,4,1,5,,,,68,70,,,,2,2,3,3,2,3,2,,,,36,36,,,,3,3,3,4,2,3,3,2,4,40,40,44,44,,1,5,2,5,4,4,5,4,4,2,,,,,,78,80,,,,4,4,4,3,3,2,5,80,79,80,79,,3,3,2,4,1,5,4,,74,74,,,,4,4,4,4,,,79,79,,,,,,,,,,,,,,,,,3,3,3,3,2,3,3,4,2,2,3,3,4,4,4,4,,,,,,,,,,,,,,,,,,
AUS_21052022_L1,Australia,AUS,2022,21/05/2022,Legislative,8,,1,1,2,4,56281,5,3,1,,72,72,,,75,67,81,65,89,75,67,81,65,86,9,73,,3,3,2,4,2,4,,,,,68,68,,,,5,5,5,5,100,100,100,100,,2,4,2,4,5,82,82,82,82,,3,3,2,4,2,4,,,71,71,,,,1,5,4,4,3,4,2,5,,,,75,75,,,,2,2,3,4,4,3,2,,,,49,47,,,,4,3,3,3,3,4,2,2,4,49,51,55,56,,1,5,2,4,5,4,5,5,4,3,,,,,,85,85,,,,4,4,4,2,4,2,5,89,83,89,83,,2,4,2,4,1,5,5,,81,84,,,,4,4,4,4,,,80,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,2,5,2,4,2,4,2,4,2,4,4,3,3,2,4
AUT_29092013_L1,Austria,AUT,2013,29/09/2013,Legislative,16,,1,1,2,4,47722,4,6,1,,76,66,,,78,67,90,72,84,80,67,90,73,89,9,77,,2,4,2,4,2,4,,,,,78,78,,,,4,5,5,5,90,91,90,91,,2,4,2,4,4,80,80,80,80,,2,4,1,5,1,5,,,87,87,,,,2,4,4,3,3,3,2,5,,,,69,69,,,,3,3,3,3,4,4,3,,,,54,59,,,,4,3,3,3,3,3,3,,,54,56,,,,1,5,1,5,4,4,5,4,5,2,,,,,,92,89,,,,5,5,5,1,5,2,4,93,92,93,92,,2,4,2,4,1,5,4,,81,83,,,,5,5,4,5,,,88,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT_04122016_P2,Austria,AUT,2016,04/12/2016,Presidential,17,,1,1,2,4,50078,4,6,1,,82,73,,,81,80,89,82,74,82,79,90,79,81,9,80,,2,4,2,4,2,4,,,,,83,83,,,,4,4,5,5,86,87,86,87,,1,5,1,5,4,85,87,85,87,,2,4,2,4,2,4,,,82,80,,,,1,5,4,4,2,4,2,4,,,,77,77,,,,3,3,2,4,4,4,3,,,,73,70,,,,4,4,3,1,5,2,4,1,5,69,72,71,75,,1,5,1,5,5,5,5,4,5,1,,,,,,89,90,,,,5,5,5,2,4,2,4,91,91,91,91,,2,4,2,4,1,5,3,,77,78,,,,5,4,4,4,,,86,85,,,,4,2,2,4,5,7,7,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT_22052016_P2,Austria,AUT,2016,22/05/2016,Presidential,16,,1,1,2,4,50078,4,6,1,,73,73,,,83,80,92,81,79,82,80,92,79,79,8,76,,1,5,1,5,1,5,,,,,92,92,,,,3,4,4,3,67,67,67,67,,1,5,1,5,3,80,78,80,78,,1,5,2,4,3,3,,,76,77,,,,1,5,4,4,3,3,1,5,,,,79,80,,,,3,3,2,4,4,3,3,,,,66,63,,,,4,4,3,2,4,2,4,1,5,75,76,79,80,,1,5,2,4,4,5,5,5,5,1,,,,,,91,91,,,,5,4,4,1,5,1,5,85,86,85,86,,5,1,2,4,1,5,5,,67,67,,,,4,4,5,3,,,73,73,,,,4,1,1,5,5,13,13,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT_15102017_L1,Austria,AUT,2017,15/10/2017,Legislative,21,,1,1,2,4,50078,4,6,1,,70,76,,,79,68,91,75,81,80,68,91,74,86,9,77,,2,4,2,4,2,4,,,,,80,80,,,,4,4,5,5,88,88,88,88,,2,4,2,4,4,75,75,75,75,,1,5,2,4,2,4,,,86,86,,,,1,5,4,4,3,3,1,5,,,,74,74,,,,3,3,3,4,3,3,3,,,,48,54,,,,4,3,3,2,4,3,3,2,4,59,59,63,63,,1,5,1,5,5,5,5,5,5,1,,,,,,94,93,,,,5,4,5,2,5,2,4,89,90,89,90,,1,5,3,3,1,5,4,,75,76,,,,5,4,4,5,,,90,88,,,,,,,5,,,,,,43,22,4,4,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT_29092019_L1,Austria,AUT,2019,29/09/2019,Legislative,3,,1,1,2,4,58076,4,6,1,,,,,,86,75,96,73,99,86,75,97,73,99,9,81,,2,4,2,4,1,5,,,,,78,78,,,,5,5,5,5,98,98,98,98,,,,,,,,,,,,2,4,2,4,1,5,,,83,86,,,,1,5,4,4,2,4,1,5,,,,80,80,,,,3,3,3,3,4,4,2,,,,53,57,,,,4,3,3,2,4,2,4,1,5,60,60,67,67,,1,5,1,5,5,5,5,5,5,1,,,,,,96,97,,,,5,5,5,1,5,1,5,100,100,100,100,,1,5,3,3,1,5,,,,,,,,5,5,5,5,,,94,94,,,,,,,,,,,,,,,,,1,1,3,3,4,1,1,5,1,1,4,4,3,3,3,3,,,,,,,,,,,,,,,,,,
